C,[picoC](https://github.com/zsaleeba/picoc),36.6246
Java,[Jog](https://code.google.com/p/jog-interpreter),4.67536
Java,[Jog](https://code.google.com/p/jog-interpreter),6.36604
Java,[Jog](https://code.google.com/p/jog-interpreter),6.21447
Java,[Jog](https://code.google.com/p/jog-interpreter),5.01324
C,[c4-jit](https://github.com/EarlGray/c4),0.135887
C,[c4-jit](https://github.com/EarlGray/c4),0.137726
TinyVM,[tinyvm](https://github.com/jakogut/tinyvm),0.815087
TinyVM,[tinyvm](https://github.com/jakogut/tinyvm),0.786274
TinyVM,[tinyvm](https://github.com/jakogut/tinyvm),0.801847
TinyVM,[tinyvm](https://github.com/jakogut/tinyvm),0.804102
JetScript,[JetScript](https://github.com/matt-attack/JetScript),4.8104
JavaScript,[v7](https://github.com/cesanta/v7),51.9403
javascript\duktape\duktape.exe,inf
javascript\duktape\duktape.exe,inf
javascript\duktape\duktape.exe,9.49006
javascript\duktape\duktape.exe,9.13736
javascript\duktape\duktape.exe,9.06293
javascript\duktape\duktape.exe,9.71474
Tcl,[jim](https://github.com/antirez/Jim),12.2801
